uptime_id,ts,site_count,ts_updated
3380,"2018-10-07 19:30:00",23,"2018-10-07 23:30:00"
3379,"2018-10-07 18:30:00",22,"2018-10-07 19:00:00"
3378,"2018-10-07 17:00:00",23,"2018-10-07 18:00:00"
3377,"2018-10-07 12:00:00",22,"2018-10-07 16:30:00"
3376,"2018-10-07 00:00:00",21,"2018-10-07 11:30:00"
3375,"2018-10-06 22:30:00",22,"2018-10-06 23:30:00"
3374,"2018-10-06 17:30:00",21,"2018-10-06 22:00:00"
3373,"2018-10-06 16:30:00",20,"2018-10-06 17:00:00"
3372,"2018-10-06 15:00:00",21,"2018-10-06 16:00:00"
3371,"2018-10-06 13:00:00",20,"2018-10-06 14:30:00"
3370,"2018-10-06 10:30:00",21,"2018-10-06 12:30:00"
3369,"2018-10-06 00:00:00",22,"2018-10-06 10:00:00"
3368,"2018-10-05 11:30:00",32,"2018-10-05 23:30:00"
3367,"2018-10-05 11:00:00",31,"2018-10-05 11:00:00"
3366,"2018-10-05 10:00:00",28,"2018-10-05 10:30:00"
3365,"2018-10-05 09:30:00",25,"2018-10-05 09:30:00"
3364,"2018-10-05 09:00:00",24,"2018-10-05 09:00:00"
3363,"2018-10-05 08:00:00",23,"2018-10-05 08:30:00"
3362,"2018-10-05 03:30:00",22,"2018-10-05 07:30:00"
3361,"2018-10-05 03:00:00",21,"2018-10-05 03:00:00"
3360,"2018-10-05 01:00:00",22,"2018-10-05 02:30:00"
3359,"2018-10-05 00:00:00",21,"2018-10-05 00:30:00"
3358,"2018-10-04 16:00:00",23,"2018-10-04 23:30:00"
3357,"2018-10-04 07:00:00",24,"2018-10-04 15:30:00"
3356,"2018-10-04 00:00:00",22,"2018-10-04 06:30:00"
3355,"2018-10-03 20:30:00",23,"2018-10-03 23:30:00"
3354,"2018-10-03 11:30:00",22,"2018-10-03 20:00:00"
3353,"2018-10-03 10:30:00",23,"2018-10-03 11:00:00"
3352,"2018-10-03 10:00:00",22,"2018-10-03 10:00:00"
3351,"2018-10-03 08:00:00",23,"2018-10-03 09:30:00"
3350,"2018-10-03 07:30:00",26,"2018-10-03 07:30:00"
3349,"2018-10-03 07:00:00",25,"2018-10-03 07:00:00"
3348,"2018-10-03 06:30:00",23,"2018-10-03 06:30:00"
3347,"2018-10-03 02:30:00",22,"2018-10-03 06:00:00"
3346,"2018-10-03 00:00:00",23,"2018-10-03 02:00:00"
3345,"2018-10-02 22:30:00",32,"2018-10-02 23:30:00"
3344,"2018-10-02 20:30:00",31,"2018-10-02 22:00:00"
3343,"2018-10-02 17:00:00",18,"2018-10-02 20:00:00"
3342,"2018-10-02 16:30:00",19,"2018-10-02 16:30:00"
3341,"2018-10-02 11:30:00",31,"2018-10-02 16:00:00"
3340,"2018-10-02 11:00:00",28,"2018-10-02 11:00:00"
3339,"2018-10-02 10:30:00",27,"2018-10-02 10:30:00"
